Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Box To The Beat VR;Box To The Beat VR v44+44.0 -VRP;com.KhosoufStudio.BoxToTheBeat;44;2023-10-23 11:11 UTC;1729
Boxed;Boxed v4+0.4 -VRP;com.GlobeOtter.Blocked;4;2023-04-25 11:53 UTC;58
Breakout VR;Breakout VR v3+1.0 -VRP;com.nerdvisiongames.breakoutvr;3;2023-04-17 17:04 UTC;119
Brick Attack;Brick Attack v16+0.1.6 -VRP;com.PicoPlanetDev.Breakout;16;2023-06-09 17:24 UTC;51
BricksVR;BricksVR v39+0.2.40 -VRP;com.BricksVR.BricksVR;39;2023-08-03 11:51 UTC;88
BricksVR Rebuilt;BricksVR Rebuilt v40+0.2.42 -VRP;com.BricksVR.BricksVRRebuilt;40;2023-08-01 14:46 UTC;57
Bridge Engineer;Bridge Engineer v16+1.0.0.0 -VRP;com.ProjectArtiliris.BridgeEngineer;16;2023-06-18 04:07 UTC;619
BRINK Traveler;BRINK Traveler v354+1.4.0 -VRP;com.brink.vr.oculus.quest;354;2023-10-24 10:59 UTC;2024
Brisk Square;Brisk Square v34+0.870 -VRP;com.outerlynx.brisksquare.game;34;2023-05-05 11:10 UTC;1087
Broken Edge;Broken Edge v94+1.5.2 -VRP;com.trebuchet.BrokenEdge;94;2023-10-20 12:07 UTC;1583
Broken Spectre;Broken Spectre v115+1.0.0.4 -VRP;ca.StitchMedia.Broken_Spectre;115;2023-07-11 13:36 UTC;914
Brushwork Studio;Brushwork Studio v146+.10e -VRP;com.SunsetDivision.BrushworkStudio;146;2023-06-26 20:18 UTC;507
Bubble Boogie;Bubble Boogie v200016+0.5 -VRP;com.VStars.BubbleBoogie;200016;2023-03-09 12:57 UTC;702
Budget Cuts Ultimate;Budget Cuts Ultimate v3375+3386 -VRP;com.NeatCorporation.BudgetCutsUltimate;3375;2023-10-20 12:07 UTC;4952
Bullet Roulette;Bullet Roulette v4+1.2 -FFA;com.fibrum.bulletroulette;4;2023-10-30 16:54 UTC;259
Bullet Roulette- Peaceful Edition;Bullet Roulette- Peaceful Edition v21+1.06 -VRP;com.fibrum.bulletroulettepeaceful;21;2023-08-14 14:17 UTC;234
Cake Mouse;Cake Mouse v6+0.24 -VRP;com.StudioHORANG.CakeMouseQuest;6;2023-08-16 18:42 UTC;57
Call of the Sea VR;Call of the Sea VR v155+2.1.2.0 -NIF;com.OOTB.COTSVR_RF;155;2023-07-01 15:42 UTC;4260
Can You Do It;Can You Do It v6+1.15 -VRP R2;com.tgs.vr.canyoudoit;6;2023-04-17 17:40 UTC;154
Candy Puzzle;Candy Puzzle v3+1.01 -VRP;com.tgs.vr.candy;3;2023-04-17 17:41 UTC;71
Captain Hardcore;Captain Hardcore v1+1.0 -VRP [ADULT];com.AntiZeroGames.CH;1;2023-03-09 12:57 UTC;2020
Captain ToonHead vs The Punks from Outer Space;Captain ToonHead vs The Punks from Outer Space v36+1.6.18 -NIF;com.TeravisionGames.NeonFuryVR;36;2023-06-26 13:34 UTC;2423
Car Mechanic Simulator;Car Mechanic Simulator v379+1.1.3 -VRP;com.GameFormatic.CMSVRQuest;379;2023-08-03 10:39 UTC;1619
Car Parking Simulator;Car Parking Simulator v12+1.7.2 -VRP;com.sloppy.carparkingsimulator;12;2023-08-16 18:42 UTC;599
Carly and the Reaperman;Carly and the Reaperman v1221124755+1.22.124755 -VRP;com.resolutiongames.catr.ovr.quest;1221124755;2023-03-09 12:57 UTC;390
Carroll's Riddles;Carroll's Riddles v439+1.51 -VRP;com.sciencevr.carroll.quest;439;2023-08-15 21:05 UTC;356
Cartridge '81;Cartridge '81 v2+1.0.1 -VRP R2;com.PunkyPixels.Cartridge81;2;2023-04-17 17:41 UTC;163
Carve Snowboarding;Carve Snowboarding v585+1.09 -VRP;com.ViteiBackroom.Powder;585;2023-04-14 17:06 UTC;2986
